Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1uF,C_0603,-340.233,-99.441,180,bottom
C3,22pF,C_0603,-353.187,-107.95,0,bottom
C4,22pF,C_0603,-353.187,-105.664,0,bottom
C5,10uF,C_0603,-336.804,-100.33,270,bottom
C6,0.1uF,C_0603,-334.518,-110.49,270,bottom
C7,0.1uF,C_0603,-343.662,-112.776,180,bottom
C8,0.1uF,C_0603,-346.964,-102.235,180,bottom
CRGB1,0.1uF,C_0603,-360.3625,-39.6875,270,bottom
CRGB2,0.1uF,C_0603,-339.725,-50.8,90,bottom
CRGB3,0.1uF,C_0603,-279.4,-39.6875,270,bottom
CRGB4,0.1uF,C_0603,-247.65,-37.30625,270,bottom
CRGB5,0.1uF,C_0603,-193.675,-39.6875,270,bottom
CRGB6,0.1uF,C_0603,-161.925,-37.30625,270,bottom
CRGB7,0.1uF,C_0603,-107.95,-39.6875,270,bottom
CRGB8,0.1uF,C_0603,-72.23125,-37.30625,270,bottom
CRGB9,0.1uF,C_0603,-62.70625,-92.075,90,bottom
CRGB10,0.1uF,C_0603,-59.53125,-137.31875,270,bottom
CRGB11,0.1uF,C_0603,-114.3,-137.31875,270,bottom
CRGB12,0.1uF,C_0603,-154.78125,-137.31875,270,bottom
CRGB13,0.1uF,C_0603,-195.2625,-137.31875,270,bottom
CRGB14,0.1uF,C_0603,-226.21875,-137.31875,270,bottom
CRGB15,0.1uF,C_0603,-276.225,-131.7625,0,bottom
CRGB16,0.1uF,C_0603,-326.23125,-137.31875,270,bottom
CRGB17,0.1uF,C_0603,-360.3625,-139.7,270,bottom
CRGB18,0.1uF,C_0603,-361.15625,-92.075,90,bottom
D1,SOD-323,D_SOD-123,-55.5625,-38.89375,90,bottom
D2,SOD-323,D_SOD-123,-93.6625,-38.89375,90,bottom
D3,SOD-323,D_SOD-123,-96.8375,-38.89375,90,bottom
D4,SOD-323,D_SOD-123,-131.7625,-38.89375,90,bottom
D5,SOD-323,D_SOD-123,-150.8125,-38.89375,90,bottom
D6,SOD-323,D_SOD-123,-179.3875,-38.89375,90,bottom
D7,SOD-323,D_SOD-123,-182.5625,-38.89375,90,bottom
D8,SOD-323,D_SOD-123,-217.4875,-38.89375,90,bottom
D9,SOD-323,D_SOD-123,-236.5375,-38.89375,90,bottom
D10,SOD-323,D_SOD-123,-265.1125,-38.89375,90,bottom
D11,SOD-323,D_SOD-123,-268.2875,-38.89375,90,bottom
D12,SOD-323,D_SOD-123,-303.2125,-38.89375,90,bottom
D13,SOD-323,D_SOD-123,-306.3875,-38.89375,90,bottom
D14,SOD-323,D_SOD-123,-79.375,-119.85625,90,bottom
D17,SOD-323,D_SOD-123,-55.5625,-62.70625,90,bottom
D18,SOD-323,D_SOD-123,-74.6125,-62.70625,90,bottom
D19,SOD-323,D_SOD-123,-93.6625,-62.70625,90,bottom
D20,SOD-323,D_SOD-123,-112.7125,-62.70625,90,bottom
D21,SOD-323,D_SOD-123,-131.7625,-62.70625,90,bottom
D22,SOD-323,D_SOD-123,-150.8125,-62.70625,90,bottom
D23,SOD-323,D_SOD-123,-169.8625,-62.70625,90,bottom
D24,SOD-323,D_SOD-123,-188.9125,-62.70625,90,bottom
D25,SOD-323,D_SOD-123,-207.9625,-62.70625,90,bottom
D26,SOD-323,D_SOD-123,-227.0125,-62.70625,90,bottom
D27,SOD-323,D_SOD-123,-246.0625,-62.70625,90,bottom
D28,SOD-323,D_SOD-123,-265.1125,-62.70625,90,bottom
D29,SOD-323,D_SOD-123,-268.2875,-62.70625,90,bottom
D30,SOD-323,D_SOD-123,-287.3375,-62.70625,90,bottom
D31,SOD-323,D_SOD-123,-284.1625,-62.70625,90,bottom
D35,SOD-323,D_SOD-123,-60.325,-80.9625,90,bottom
D36,SOD-323,D_SOD-123,-84.1375,-81.75625,90,bottom
D37,SOD-323,D_SOD-123,-103.1875,-81.75625,90,bottom
D38,SOD-323,D_SOD-123,-122.2375,-81.75625,90,bottom
D39,SOD-323,D_SOD-123,-141.2875,-81.75625,90,bottom
D40,SOD-323,D_SOD-123,-160.3375,-81.75625,90,bottom
D41,SOD-323,D_SOD-123,-179.3875,-81.75625,90,bottom
D42,SOD-323,D_SOD-123,-198.4375,-81.75625,90,bottom
D43,SOD-323,D_SOD-123,-217.4875,-81.75625,90,bottom
D44,SOD-323,D_SOD-123,-236.5375,-81.75625,90,bottom
D45,SOD-323,D_SOD-123,-255.5875,-81.75625,90,bottom
D46,SOD-323,D_SOD-123,-274.6375,-81.75625,90,bottom
D47,SOD-323,D_SOD-123,-293.6875,-81.75625,90,bottom
D48,SOD-323,D_SOD-123,-296.8625,-81.75625,90,bottom
D52,SOD-323,D_SOD-123,-62.70625,-100.80625,90,bottom
D53,SOD-323,D_SOD-123,-88.9,-100.80625,90,bottom
D54,SOD-323,D_SOD-123,-107.95,-100.80625,90,bottom
D55,SOD-323,D_SOD-123,-127,-100.80625,90,bottom
D56,SOD-323,D_SOD-123,-146.05,-100.80625,90,bottom
D57,SOD-323,D_SOD-123,-165.1,-100.80625,90,bottom
D58,SOD-323,D_SOD-123,-184.15,-100.80625,90,bottom
D59,SOD-323,D_SOD-123,-203.2,-100.80625,90,bottom
D60,SOD-323,D_SOD-123,-222.25,-100.80625,90,bottom
D61,SOD-323,D_SOD-123,-241.3,-100.80625,90,bottom
D62,SOD-323,D_SOD-123,-260.35,-100.80625,90,bottom
D63,SOD-323,D_SOD-123,-279.4,-100.80625,90,bottom
D65,SOD-323,D_SOD-123,-282.575,-100.80625,90,bottom
D66,SOD-323,D_SOD-123,-322.2625,-119.85625,90,bottom
D67,SOD-323,D_SOD-123,-82.55,-119.85625,90,bottom
D68,SOD-323,D_SOD-123,-98.425,-119.85625,90,bottom
D69,SOD-323,D_SOD-123,-117.475,-119.85625,90,bottom
D70,SOD-323,D_SOD-123,-136.525,-119.85625,90,bottom
D71,SOD-323,D_SOD-123,-155.575,-119.85625,90,bottom
D72,SOD-323,D_SOD-123,-174.625,-119.85625,90,bottom
D73,SOD-323,D_SOD-123,-193.675,-119.85625,90,bottom
D74,SOD-323,D_SOD-123,-212.725,-119.85625,90,bottom
D75,SOD-323,D_SOD-123,-231.775,-119.85625,90,bottom
D76,SOD-323,D_SOD-123,-250.825,-119.85625,90,bottom
D77,SOD-323,D_SOD-123,-269.875,-119.85625,90,bottom
D78,SOD-323,D_SOD-123,-305.59375,-119.85625,90,bottom
D81,SOD-323,D_SOD-123,-296.06875,-138.90625,90,bottom
D82,SOD-323,D_SOD-123,-301.625,-138.90625,90,bottom
D84,SOD-323,D_SOD-123,-86.51875,-138.90625,90,bottom
D85,SOD-323,D_SOD-123,-83.34375,-138.90625,90,bottom
D86,SOD-323,D_SOD-123,-89.69375,-138.90625,90,bottom
D87,SOD-323,D_SOD-123,-161.13125,-138.90625,90,bottom
D90,SOD-323,D_SOD-123,-248.44375,-138.90625,90,bottom
D91,SOD-323,D_SOD-123,-254,-138.90625,90,bottom
D92,SOD-323,D_SOD-123,-346.075,-38.89375,90,bottom
D93,SOD-323,D_SOD-123,-349.25,-38.89375,90,bottom
D94,SOD-323,D_SOD-123,-377.825,-51.59375,90,bottom
D95,SOD-323,D_SOD-123,-346.075,-62.70625,90,bottom
D96,SOD-323,D_SOD-123,-365.125,-62.70625,90,bottom
D97,SOD-323,D_SOD-123,-368.3,-62.70625,90,bottom
D99,SOD-323,D_SOD-123,-346.075,-81.75625,90,bottom
